Name,Card Type,Code,Color,Trait,Level,Cost,AP,HP,Link Requirement,Command Pilot/Pilot Name,Unit Link (Pilot/Trait),Link Description,Pair Effect,Pair Description,Repair,Breach,Support,High Maneuver,Destroyed Effect,Deploy Effect,Rest Effect,First Strike Effect,Ping Effect,Token/Unit Generation,Resource Generation,Cost Reduction Effect,Set Unit/Base As Active,Active Enemy Target Effect,Draw Card Effect,Recover Effect,AP(+) Effect,AP(-) Effect,HP(+) Effect,AP Reduction Prevention,Damage Prevention Effect,Force Target Priority,Bounce Effect,Blocker,Effect Description
Banagher Links,Pilot,GD01-088,Blue,(Civilian)(Newtype),5,1,2,2,No,Banagher Links,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,[When Linked] Draw 1.
Riddhe Marcenas,Pilot,GD01-089,Blue,(Earth Federation),3,1,1,1,No,Riddhe Marcenas,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"If this Unit has <Repair>, it gets AP+1"
Duo Maxwell,Pilot,GD01-090,Green,(Operation Meteor),4,1,1,2,No,Duo Maxwell,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,[During Link] This Unit's AP can't be reduced by enemy effects.
Change Wufei,Pilot,GD01-091,Green,(Operation Meteor),4,1,2,1,No,Change Wufei,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,"During your turn, if this Unit has <Breach>, it can't receive battle damage from enemy Units with 3 or less AP."
M'Quve,Pilot,GD01-092,Green,(Zeon),3,1,1,1,No,M'Quve,None,None,No,None,0,1*,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"White this Unit is (Zeon), it gains <Breach 1>"
Marida Cruz,Pilot,GD01-093,Red,(Neo Zeon)(Cyber-Newtype),4,1,2,1,No,Marida Cruz,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[During Link] [Attack] Choose 1 enemy Unit whose Lv. is equal to or lower than this Unit. Deal 1 damage to it.
Yzak Jule,Pilot,GD01-094,Red,(ZAFT)(Coordinator),3,1,1,1,No,Yzak Jule,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[Once per Turn] When an enemy Link Unit is destroyed with damage while this Unit is attacking, draw 1."
Dearka Elthman,Pilot,GD01-095,Red,(ZAFT)(Coordinator),3,1,1,1,No,Dearka Elthman,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[When Linked] Discard 1. If you do, draw 1."
Cagalli Yula Athha,Pilot,GD01-096,White,(Orb),4,1,1,1,No,Cagalli Yula Athha,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"While this Unit is white, it gains <Blocker>"
Guel Jeturk,Pilot,GD01-097,White,(Academy),3,1,1,1,No,Guel Jeturk,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,"[Activate Main] [Once per Turn] If your opponent has 8 or more cards in their hand, set this Unit as active. It can't attack during this turn."
Elan Ceres (Enhanced Person Number 4),Pilot,GD01-098,White,(Academy),4,1,2,1,No,Elan Ceres (Enhanced Person Number 4),None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"[Activate Action] [Once per Turn] If an enemy Unit with 1 or less AP is in play, this Unit recovers 1 HP."
Intercept Orders,Command,GD01-099,Blue,None,4,2,0,0,No,None,None,None,No,None,0,0,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Main] / [Action] Choose 1 to 2 enemy Units with 3 or less HP. Rest them.
A Show of Resolve,Command,GD01-100,Blue,None,4,3,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,[Main] Draw 2.
Deep Devotion | Lucrezia Noin,Command/Pilot,GD01-101,Blue,(OZ),2,1,1,0,No,Lucrezia Noin,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,[Main] / [Action] Choose 1 friendly Link Unit. It recovers 3 HP.
Securing the Supply Line,Command,GD01-102,Blue,None,4,2,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,[Main] All friendly Units that art Lv.4 or lower recover 2 HP.
The Stubborn Cog | Daguza Mackle,Command/Pilot,GD01-103,Blue,(Earth Federation),1,1,0,1,No,Daguza Mackle,None,None,No,None,0,0,0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Main] Choose 1 active friendly (Earth Federation) Unit and 1 active enemy Unit. Rest them.
Signs of a Revolution,Command,GD01-104,Blue,None,3,2,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Main] Choose 1 rested enemy Unit. Deal 2 damage to it.
"Citizens, Take a Stand!",Command,GD01-105,Green,None,4,1,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,[Main] All your Units get AP+2 during this turn.
Fortress Defense | Dozle Zabi,Command/Pilot,GD01-106,Green,(Zeon),5,2,1,0,No,Dozle Zabi,None,None,No,None,0,0,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Main] Deploy 2 [Zaku II]((Zeon) AP1 HP1) Unit tokens.
First Contact,Command,GD01-107,Green,None,3,3,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,[Main] Place 1 rested Resource.
Strategic Arms,Command,GD01-108,Green,None,6,6,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Main] Deal 2 damage to all Units with <Blocker>
The Path to Victory or Defeat,Command,GD01-109,Green,None,5,1,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,[Main] Look at the top 5 cards of your deck. You may reveal 1 (Operation Meteor)/(G Team) Unit card/Pilot card among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck.
Rasid's Orders | Rasid Kurama,Command/Pilot,GD01-110,Green,(Maganac Corps),3,1,0,1,No,Rasid Kurama,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,"[Main] / [Action] Choose 1 Unit that is Lv.4 or higher. During this turn, it may choose an activate enemy Unit with 6 or less AP as its attack target."
Battle of Aces,Command,GD01-111,Red,None,3,2,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Main] / [Action] Choose 1 damaged enemy Unit. Deal 3 damage to it. Burst: Choose 1 enemy Unit. Deal 2 damage to it.
Extreme Hatred | Loni Garvey,Command/Pilot,GD01-112,Red,(Zeon)(Newtype),6,1,1,0,No,Loni Garvey,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Main] Choose 2 of your active Units. Rest them. If you do, choose 1 enemy Unit. Deal 3 damage to it."
The Desert Tiger | Andrew Waldfeld,Command/Pilot,GD01-113,Red,(ZAFT)(Coordinator),3,1,1,0,No,Andrew Waldfeld,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,[Main] / [Action] Choose 1 friendly (ZAFT) Unit. It gets AP+3 during this turn.
Assault on Torrington Base | Yonem Kirks,Command/Pilot,GD01-114,Red,(Zeon),1,1,1,0,No,Yonem Kirks,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,[Action] Choose 2 friendly Units. They get AP+1 during this turn.
Zeon Remnant Forces,Command,GD01-115,Red,None,2,1,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Main] / [Action] Choose 1 enemy Unit. Deal 1 damage to it.
Stealth Stratagem | Nicol Amarfi,Command/Pilot,GD01-116,Red,(ZAFT)(Coordinator),2,1,0,1,No, Nicol Amarfi,None,None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Main]/[Action] Choose 1 enemy Unit with 2 or less AP. Deal 2 damage to it.
The Witch and the Bride,Command,GD01-117,White,None,5,2,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,[Main] / [Action] Choose 1 enemy Unit with 5 or less HP. Return it to its owner's hand. Burst: Activate this card's [Main].
Overflowing Affection,Command,GD01-118,White,None,2,1,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[Main] Draw 2. Then, discard 1."
Iron-Fisted Discipline | Chuatury Panlunch,Command/Pilot,GD01-119,White,(Academy),2,1,1,0,No,Chuatury Panlunch,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,[Main] / [Action] Choose 1 enemy Unit that is Lv.4 or lower. It gets AP-2 during this turn.
Naval Bombardment,Command,GD01-120,White,None,2,1,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes*,No,No,No,No,No,No,[Action] Choose 1 friendly Unit with <Blocker>. It gets AP+3 during this turn. Burst: Choose 1 enemy Unit. It gets AP-3 during this turn.
Midair Modifications,Command,GD01-121,White,None,3,2,0,0,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,[Main] Choose 1 rested Unit with <Blocker>. Set it as active. It can't attack during this turn.
Covert Operative | Shaddiq Zenelli,Command/Pilot,GD01-122,White,(Academy),3,1,1,0,No,Shaddiq Zenelli,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"[Main] Choose 1 enemy Unit with 2 or less HP. Return it to its owner's hand. If you have a Link Unit in play, choose 1 enemy Unit 4 or less HP instead."
Nahel Argama,Base,GD01-123,Blue,(Earth Federation)(Warship),3,2,0,5,No,None,None,None,No,None,0,0,0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Then, choose 1 enemy Unit with 3 or less HP. Rest it."
Side 7,Base,GD01-124,Blue,(Earth Federation)(Stronghold),1,1,0,4,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,[Activate Main] Rest this Base: Choose 1 friendly Unit. It recovers 1 HP.
Zanzibar,Base,GD01-125,Green,(Zeon)(Warship),4,2,0,5,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"Then, if it is your turn, you may deploy 1 (Zeon) Unit card that is Lv.4 or lower from your hand."
Underground Desert Base,Base,GD01-126,Green,(Maganac Corps)(Stronghold),2,1,0,6,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Gamow,Base,GD01-127,Red,(ZAFT)(Warship),2,1,0,5,No,None,None,None,No,None,0,3*,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Activate Action] Rest this Base : Choose 1 friendly (ZAFT) Unit with 5 or more AP. It gains <Breach 3> during this battle.
Mining Asteroid Palau,Base,GD01-128,Red,(Neo Zeon)(Stronghold),2,1,0,6,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Kusanagi,Base,GD01-129,White,(Triple Ship Alliance)(Warship),4,2,0,4,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,"Then, choose 1 enemy Unit with 3 or less HP. Return it to its owner's hand."
13th Tactical Testing Sector,Base,GD01-130,White,(Academy)(Stronghold),3,1,0,5,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,"[Activate Main] Rest this Base: If a friendly (Academy) Unit is in play, choose 1 enemy Unit. It gets AP-1 during this turn."
Psycho Gundam,Unit,GD02-001,Blue,(Titans),6,4,4,5,Yes,None,Four Murasame,None,No,"[During Pair･(Cyber-Newtype) Pilot]When one of your (Titans) Units destroys an enemy shield area card with damage, this Unit recovers 2 HP.",0,3,0,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,"[During Pair･(Cyber-Newtype) Pilot]When one of your (Titans) Units destroys an enemy shield area card with damage, this Unit recovers 2 HP"
Gundam Epyon,Unit,GD02-002,Blue,(White Fang),8,7,6,6,Yes,None,Zechs Merquise,"[During Link][Once per Turn]During your turn, when one of your Units destroys an enemy Unit with battle damage, set this Unit as active.",No,None,0,0,0,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,"[During Link][Once per Turn]During your turn, when one of your Units destroys an enemy Unit with battle damage, set this Unit as active."
Gundam Mk-II (Titans),Unit,GD02-003,Blue,(Titans),4,3,4,2,Yes,None,Titans (Trait),None,Yes,"[During Pair･Lv.3 or Lower Pilot][Destroyed]You may discard 1 Unit card. If you do, return the card paired with this Unit to your hand.",0,0,0,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[During Pair･Lv.3 or Lower Pilot][Destroyed]You may discard 1 Unit card. If you do, return the card paired with this Unit to your hand."
Byarlant,Unit,GD02-004,Blue,(Titans),5,3,4,3,Yes,None,Jerid Messa,None,Yes,[When Paired]Choose 1 rested enemy Unit with 3 or less HP. It won't be set as active during the start phase of your opponent's next turn.,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[When Paired]Choose 1 rested enemy Unit with 3 or less HP. It won't be set as active during the start phase of your opponent's next turn.
Tallgeese,Unit,GD02-005,Blue,(OZ),4,3,3,4,Yes,None,OZ (Trait),[During Link][Attack]Choose 1 enemy Unit with 2 or less HP. Rest it.,No,None,0,0,0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[During Link][Attack]Choose 1 enemy Unit with 2 or less HP. Rest it.
Forbidden Gundam,Unit,GD02-006,Blue,(Earth Alliance),5,3,4,4,Yes,None,Biological CPU (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,"During your turn, this Unit can't receive battle damage from enemy Units that are Lv.2 or lower."
Psycho Gundam (MA Mode),Unit,GD02-007,Blue,(Titans),5,4,3,4,Yes,None,Cyber-Newtype (Trait),None,No,None,2,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Gabthley,Unit,GD02-008,Blue,(Titans),4,3,4,3,Yes,None,Titans (Trait),[When Linked]Choose 1 rested enemy Unit. Deal 1 damage to it.,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[When Linked]Choose 1 rested enemy Unit. Deal 1 damage to it.
Calamity Gundam,Unit,GD02-009,Blue,(Earth Alliance),5,3,3,5,Yes,None,Biological CPU (Trait),None,No,None,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Once per Turn]When this Unit's AP is reduced by an enemy effect, choose 1 rested enemy Unit. Deal 2 damage to it."
Raider Gundam,Unit,GD02-010,Blue,(Earth Alliance),5,3,4,4,Yes,None,Biological CPU (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[Once per Turn]When this Unit receives enemy effect damage, draw 1."
Moebius (Peacemaker Team),Unit,GD02-011,Blue,(Earth Alliance),4,2,0,1,No,None,None,None,No,None,0,0,0,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Activate･Action]Destroy this Unit：Choose 1 enemy Base/enemy Shield this Unit is battling. Deal 6 damage to it.
Core Booster,Unit,GD02-012,Blue,(Earth Federation)(White Base Team),2,2,2,2,Yes,None,White Base Team (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Hizack,Unit,GD02-013,Blue,(Titans),2,1,2,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Galbaldy Beta,Unit,GD02-014,Blue,(Titans),2,2,3,1,No,None,None,None,No,None,0,0,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,[Deploy]Choose 1 of your (Titans) Units. It gets AP+1 during this turn.
Marasai,Unit,GD02-015,Blue,(Titans),3,2,3,3,Yes,None,Titans (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Barzam,Unit,GD02-016,Blue,(Titans),3,2,3,2,No,None,None,None,No,None,0,0,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,[Deploy]Choose 1 of your (Titans) Units. It gets AP+1 during this turn.
Delta Plus (Waverider Mode),Unit,GD02-017,Blue,(Earth Federation),3,2,2,3,Yes,None,Riddhe Marcenas,None,No,None,2,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Taurus,Unit,GD02-018,Blue,(OZ),2,2,3,3,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,This Unit can't choose the enemy player as its attack target.
Raider Gundam (MA Mode),Unit,GD02-019,Blue,(Earth Alliance),4,2,4,3,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Elmeth,Unit,GD02-020,Green,(Zeon),6,5,4,4,Yes,None,Lalah Sune,[During Link] This Unit gets AP+2.,No,None,0,0,0,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,[Deploy]Look at the top 5 cards of your deck. You may reveal 1 green (Zeon) Pilot card among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck. [During Link] This Unit gets AP+2.
Gundam AGE-1 Normal,Unit,GD02-021,Green,(Earth Federation)(AGE System),3,2,2,2,Yes,None,Asuno Family (Trait),None,No,None,0,0,0,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[Deploy]You may discard 1 green (Earth Federation) Unit card. If you do, place 1 EX Resource. Then, if you are Lv.7 or higher, draw 1."
G-Exes,Unit,GD02-022,Green,(Earth Federation),3,2,2,3,Yes,None,Woolf Enneacle,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Once per Turn]When you place an EX Resource, choose 1 of your (AGE System) Units. It gains <Breach 2> during this turn. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)"
Gundam AGE-1 Spallow,Unit,GD02-023,Green,(Earth Federation)(AGE System),4,3,3,4,Yes,None,Flit Asuno,"[During Link]While you are Lv.7 or higher, this Unit gains <First Strike>",No,None,0,0,0,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[During Link]While you are Lv.7 or higher, this Unit gains <First Strike>. (While this Unit is attacking, it deals damage before the enemy Unit.)"
Red Gundam,Unit,GD02-024,Green,(Clan),5,3,4,4,Yes,None,Clan (Trait),Effect: [During Link]This Unit gains <High-Maneuver>.,No,None,0,0,0,Yes*,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[During Link]This Unit gains <High-Maneuver>. (This Unit can't be blocked.)
Gundam Heavyarms,Unit,GD02-025,Green,(Operation Meteor),4,3,3,4,Yes,None,Operation Meteor (Trait),None,No,None,0,0,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Deploy]Look at the top card of your deck. Return it to the top or bottom of your deck.
Genoace Custom,Unit,GD02-026,Green,(Earth Federation),2,2,2,2,Yes,None,Woolf Enneacle,None,No,None,0,0,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"[Deploy]If you are Lv.7 or higher, choose 1 of your (AGE System) Units. It gets AP+2 during this turn."
Gundam AGE-1 Titus,Unit,GD02-027,Green,(Earth Federation)(AGE System),7,4,5,5,Yes,None,Flit Asuno,None,No,None,0,3,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Abdul's Maganac,Unit,GD02-028,Green,(Maganac Corps),3,2,3,3,Yes,None,Maganac Corps (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Gundam AGE-1 Normal,Unit,GD02-029,Green,(Earth Federation)(AGE System),3,2,3,3,Yes,None,Asuno Family (Trait),None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Genoace,Unit,GD02-030,Green,(Earth Federation),1,1,1,2,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Gundam AGE-1 Titus,Unit,GD02-031,Green,(Earth Federation)(AGE System),4,2,2,4,Yes,None,Flit Asuno,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,"While you are Lv.7 or higher, this Unit gets AP+2."
White Gundam,Unit,GD02-032,Green,(Zeon),3,2,3,3,Yes,None,Char Aznable,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,None
Kikeroga (MA Mode) (GQ),Unit,GD02-033,Green,(Zeon),5,4,3,4,Yes,None,Challia Bull,None,No,None,0,5*,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No," While another friendly (Zeon) Link Unit is in play, this Unit gains <Breach 5>"
GQuuuuuuX,Unit,GD02-034,Green,(Zeon),2,1,0,3,No,None,None,None,Yes,[During Pair･Red Pilot]This Unit gets AP+2.,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,[During Pair･Red Pilot]This Unit gets AP+2.
Police Zaku (Armored RRU Type),Unit,GD02-035,Green,(Side 6),2,1,2,3,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,This Unit can't choose the enemy player as its attack target.
Qubeley,Unit,GD02-036,Red,(Neo Zeon),7,5,5,5,Yes,None,Haman Karn,[When Linked]This Unit gains <Suppression> during this turn.,Yes,[During Pair･(Neo Zeon) Pilot][Attack]Choose 1 damaged enemy Unit. Deal 2 damage to it.,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[When Linked]This Unit gains <Suppression> during this turn. (Damage to Shields by an attack is dealt to the first 2 cards simultaneously.) [During Pair･(Neo Zeon) Pilot][Attack]Choose 1 damaged enemy Unit. Deal 2 damage to it.
Gundam Virsago,Unit,GD02-037,Red,(New UNE),5,4,4,4,Yes,None,Shagia Frost,None,No,None,0,1,0,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Deploy]If there are 3 or less enemy Shields, choose 1 enemy Unit with 5 or less AP. Deal 2 damage to it."
GQuuuuuuX (Omega Psycommu),Unit,GD02-038,Red,(Clan),7,5,5,4,Yes,None,Amate Yuzuriha (Machu),None,No,None,0,0,0,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No, [Deploy]Look at the top 3 cards of your deck. You may deploy 1 (Clan) Unit card that is Lv.4 or lower among them. Return the remaining cards randomly to the bottom of your deck.
Haman Karn's Gaza C,Unit,GD02-039,Red,(Neo Zeon),3,2,2,3,Yes,None,Haman Karn,None,Yes,[When Paired]Choose 1 enemy Unit that is Lv.3 or lower. Deal 1 damage to it.,0,0,0,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[When Paired]Choose 1 enemy Unit that is Lv.3 or lower. Deal 1 damage to it.
Gundam Ashtaron,Unit,GD02-040,Red,(New UNE),4,3,3,3,Yes,None,New UNE (Trait),None,No,None,0,0,2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,[Deploy]Choose 1 of your other (New UNE) Units. It can't receive battle damage from enemy Units with 2 or less HP during this turn.
Sugai's Gelgoog (GQ),Unit,GD02-041,Red,(Clan),4,4,3,3,Yes,None,Shiiko Sugai,None,No,None,0,0,0,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Deploy]Choose 1 enemy Unit that is Lv.5 or higher. Deal 2 damage to it.
Gundam Ashtaron (MA Mode),Unit,GD02-042,Red,(New UNE),3,2,3,2,Yes,None,Olba Frost,None,No,None,0,0,0,Yes*,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Deploy]Choose 1 of your (New UNE) Units. It gains <High-Maneuver> during this turn. (This Unit can't be blocked.)
Daughtress Weapon,Unit,GD02-043,Red,(New UNE),2,2,2,1,No,None,None,None,No,None,0,0,0,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Deploy]If you have another (New UNE) Unit in play, deploy 1 rested [Daughtress]((New UNE)･AP0･HP1) Unit token."
Daughtress Command,Unit,GD02-044,Red,(New UNE),2,2,3,1,No,None,None,None,No,None,0,0,0,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,"[Destroyed]If you have another (New UNE) Unit in play, deploy 1 rested [Daughtress]((New UNE)･AP0･HP1) Unit token."
GINN Long-Range Reconnaissance Type,Unit,GD02-045,Red,(ZAFT),2,2,1,1,No,None,None,None,No,None,0,0,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,"[Attack]If this Unit has 5 or more AP and it is attacking an enemy Unit, draw 1."
Sayla's Light-Type Guncannon,Unit,GD02-046,Red,(Earth Federation),4,2,3,4,Yes,None,Sayla Mass,None,No,None,0,0,0,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Deploy]Choose 1 enemy Unit token. Deal 2 damage to it.
Gaza C,Unit,GD02-047,Red,(Neo Zeon),1,1,0,1,No,None,None,None,No,None,0,0,0,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,[Activate･Main]Rest this Unit：Destroy this and choose 1 enemy Unit that is Lv.5 or lower. Deal 1 damage to it.
