card_number,card_name,card_type,colors,lv,cost,ap,hp,traits,effects,link_conditions,pilot_name,pilot_ap,pilot_hp,rarity,set_id,zone,effect_raw
GD02-016,Barzam,Unit,blue,3,2,3,2,Titans,deploy,,,0,0,,GD02,,[Deploy]Choose 1 of your (Titans) Units. It gets AP+1 during this turn.
GD02-017,Delta Plus (Waverider Mode),Unit,blue,3,2,2,3,Earth Federation,repair:2,Riddhe Marcenas,,0,0,,GD02,,None
GD02-018,Taurus,Unit,blue,2,2,3,3,OZ,,,,0,0,,GD02,,This Unit can't choose the enemy player as its attack target.
GD02-019,Raider Gundam (MA Mode),Unit,blue,4,2,4,3,Earth Alliance,,,,0,0,,GD02,,None
GD02-020,Elmeth,Unit,green,6,5,4,4,Zeon,deploy_draw:1,Lalah Sune,,0,0,,GD02,,[Deploy]Look at the top 5 cards of your deck. You may reveal 1 green (Zeon) Pilot card among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck. [During Link] This Unit gets AP+2.
GD02-021,Gundam AGE-1 Normal,Unit,green,3,2,2,2,"Earth Federation,AGE System",deploy_draw:1,Asuno Family (Trait),,0,0,,GD02,,"[Deploy]You may discard 1 green (Earth Federation) Unit card. If you do, place 1 EX Resource. Then, if you are Lv.7 or higher, draw 1."
GD02-022,G-Exes,Unit,green,3,2,2,3,Earth Federation,,Woolf Enneacle,,0,0,,GD02,,"[Once per Turn]When you place an EX Resource, choose 1 of your (AGE System) Units. It gains <Breach 2> during this turn. (When this Unit's attack destroys an enemy Unit, deal the specified amount of damage to the first card in that opponent's shield area.)"
GD02-023,Gundam AGE-1 Spallow,Unit,green,4,3,3,4,"Earth Federation,AGE System",first_strike,Flit Asuno,,0,0,,GD02,,"[During Link]While you are Lv.7 or higher, this Unit gains <First Strike>. (While this Unit is attacking, it deals damage before the enemy Unit.)"
GD02-024,Red Gundam,Unit,green,5,3,4,4,Clan,high_maneuver,Clan (Trait),,0,0,,GD02,,[During Link]This Unit gains <High-Maneuver>. (This Unit can't be blocked.)
GD02-025,Gundam Heavyarms,Unit,green,4,3,3,4,Operation Meteor,deploy,Operation Meteor (Trait),,0,0,,GD02,,[Deploy]Look at the top card of your deck. Return it to the top or bottom of your deck.
GD02-026,Genoace Custom,Unit,green,2,2,2,2,Earth Federation,deploy,Woolf Enneacle,,0,0,,GD02,,"[Deploy]If you are Lv.7 or higher, choose 1 of your (AGE System) Units. It gets AP+2 during this turn."
GD02-027,Gundam AGE-1 Titus,Unit,green,7,4,5,5,"Earth Federation,AGE System",breach:3,Flit Asuno,,0,0,,GD02,,None
GD02-028,Abdul's Maganac,Unit,green,3,2,3,3,Maganac Corps,,Maganac Corps (Trait),,0,0,,GD02,,None
GD02-029,Gundam AGE-1 Normal,Unit,green,3,2,3,3,"Earth Federation,AGE System",,Asuno Family (Trait),,0,0,,GD02,,None
GD02-030,Genoace,Unit,green,1,1,1,2,Earth Federation,,,,0,0,,GD02,,None
GD02-031,Gundam AGE-1 Titus,Unit,green,4,2,2,4,"Earth Federation,AGE System",,Flit Asuno,,0,0,,GD02,,"While you are Lv.7 or higher, this Unit gets AP+2."
GD02-032,White Gundam,Unit,green,3,2,3,3,Zeon,,Char Aznable,,0,0,,GD02,,None
GD02-033,Kikeroga (MA Mode) (GQ),Unit,green,5,4,3,4,Zeon,breach:5,Challia Bull,,0,0,,GD02,,"While another friendly (Zeon) Link Unit is in play, this Unit gains <Breach 5>"
GD02-034,GQuuuuuuX,Unit,green,2,1,0,3,Zeon,,,,0,0,,GD02,,[During Pair･Red Pilot]This Unit gets AP+2.
GD02-035,Police Zaku (Armored RRU Type),Unit,green,2,1,2,3,Side 6,,,,0,0,,GD02,,This Unit can't choose the enemy player as its attack target.
GD02-036,Qubeley,Unit,red,7,5,5,5,Neo Zeon,ping,Haman Karn,,0,0,,GD02,,[When Linked]This Unit gains <Suppression> during this turn. (Damage to Shields by an attack is dealt to the first 2 cards simultaneously.) [During Pair･(Neo Zeon) Pilot][Attack]Choose 1 damaged enemy Unit. Deal 2 damage to it.
GD02-037,Gundam Virsago,Unit,red,5,4,4,4,New UNE,"breach:1,deploy,ping",Shagia Frost,,0,0,,GD02,,"[Deploy]If there are 3 or less enemy Shields, choose 1 enemy Unit with 5 or less AP. Deal 2 damage to it."
GD02-038,GQuuuuuuX (Omega Psycommu),Unit,red,7,5,5,4,Clan,deploy,Amate Yuzuriha (Machu),,0,0,,GD02,,[Deploy]Look at the top 3 cards of your deck. You may deploy 1 (Clan) Unit card that is Lv.4 or lower among them. Return the remaining cards randomly to the bottom of your deck.
GD02-039,Haman Karn's Gaza C,Unit,red,3,2,2,3,Neo Zeon,ping,Haman Karn,,0,0,,GD02,,[When Paired]Choose 1 enemy Unit that is Lv.3 or lower. Deal 1 damage to it.
GD02-040,Gundam Ashtaron,Unit,red,4,3,3,3,New UNE,"support:2,deploy",New UNE (Trait),,0,0,,GD02,,[Deploy]Choose 1 of your other (New UNE) Units. It can't receive battle damage from enemy Units with 2 or less HP during this turn.
GD02-041,Sugai's Gelgoog (GQ),Unit,red,4,4,3,3,Clan,"deploy,ping",Shiiko Sugai,,0,0,,GD02,,[Deploy]Choose 1 enemy Unit that is Lv.5 or higher. Deal 2 damage to it.
GD02-042,Gundam Ashtaron (MA Mode),Unit,red,3,2,3,2,New UNE,"high_maneuver,deploy",Olba Frost,,0,0,,GD02,,[Deploy]Choose 1 of your (New UNE) Units. It gains <High-Maneuver> during this turn. (This Unit can't be blocked.)
GD02-043,Daughtress Weapon,Unit,red,2,2,2,1,New UNE,deploy,,,0,0,,GD02,,"[Deploy]If you have another (New UNE) Unit in play, deploy 1 rested [Daughtress]((New UNE)･AP0･HP1) Unit token."
GD02-044,Daughtress Command,Unit,red,2,2,3,1,New UNE,,,,0,0,,GD02,,"[Destroyed]If you have another (New UNE) Unit in play, deploy 1 rested [Daughtress]((New UNE)･AP0･HP1) Unit token."
GD02-045,GINN Long-Range Reconnaissance Type,Unit,red,2,2,1,1,ZAFT,deploy_draw:1,,,0,0,,GD02,,"[Attack]If this Unit has 5 or more AP and it is attacking an enemy Unit, draw 1."
GD02-046,Sayla's Light-Type Guncannon,Unit,red,4,2,3,4,Earth Federation,"deploy,ping",Sayla Mass,,0,0,,GD02,,[Deploy]Choose 1 enemy Unit token. Deal 2 damage to it.
GD02-047,Gaza C,Unit,red,1,1,0,1,Neo Zeon,ping,,,0,0,,GD02,,[Activate･Main]Rest this Unit：Destroy this and choose 1 enemy Unit that is Lv.5 or lower. Deal 1 damage to it.
GD02-048,Zaku Ⅲ (Sleeves),Unit,red,3,2,4,1,Neo Zeon,,Neo Zeon (Trait),,0,0,,GD02,,None
GD02-049,Daughtress,Unit,red,1,1,1,1,New UNE,support:1,,,0,0,,GD02,,None
GD02-050,Ga-Zowmn (Sleeves),Unit,red,2,2,3,2,Neo Zeon,,,,0,0,,GD02,,None
GD02-051,01 Gundam,Unit,red,2,2,2,3,Earth Federation,,,,0,0,,GD02,,None
GD02-052,Guncannon (GQ),Unit,red,2,2,3,2,Earth Federation,,,,0,0,,GD02,,None
GD02-053,Gundam X,Unit,purple,7,5,6,5,Vulture,,Garrod Ran,,0,0,,GD02,,[Suppression] (Damage to Shields by an attack is dealt to the first 2 cards simultaneously.)
GD02-054,Gundam Barbatos 1st Form,Unit,purple,3,2,3,2,"Tekkadan,Gundam Frame",deploy_draw:1,Mikazuki Augus,,0,0,,GD02,,"[Attack]If this Unit is damaged, draw 1."
GD02-055,Gundam Gusion Rebake,Unit,purple,5,4,3,5,"Tekkadan,Gundam Frame","blocker,deploy,ping",Akihiro Altland,,0,0,,GD02,,[Deploy]Choose 1 of your Units and 1 enemy Unit. Deal 1 damage to them.
GD02-056,Gundam X,Unit,purple,4,3,3,4,Vulture,deploy_draw:1,Garrod Ran,,0,0,,GD02,,[During Pair･(Vulture) Pilot][Destroyed]Choose 1 (Vulture) Unit card that is Lv.5 or higher from your trash. Add it to your hand.
GD02-057,Zedas,Unit,purple,5,3,5,3,"UE,Vagan",ping,Desil Galette,,0,0,,GD02,,"[During Pair][Attack]You may choose 1 of your other Units. Destroy it. If you do, choose 1 enemy Unit that is Lv.4 or lower. Deal 2 damage to it."
GD02-058,Ryusei-Go (Graze Custom Ⅱ),Unit,purple,3,2,2,2,Tekkadan,"deploy_draw:1,ping",Tekkadan (Trait),,0,0,,GD02,,"[Deploy]Choose 1 of your Units. Deal 1 damage to it. If you do, draw 1. Then, discard 1."
GD02-059,Gundam Airmaster,Unit,purple,4,3,4,3,Vulture,blocker,Vulture (Trait),,0,0,,GD02,,None
GD02-060,Gundam Leopard,Unit,purple,5,4,4,4,Vulture,deploy,Roybea Loy,,0,0,,GD02,,"[Deploy]If there are 7 or more cards in your trash, choose 1 enemy Unit that is Lv.4 or lower. Rest it."
GD02-061,Hyakuri,Unit,purple,4,2,3,3,Teiwaz,,Teiwaz (Trait),,0,0,,GD02,,"[When Paired･Purple Pilot]If there are 3 or more (Teiwaz)/(Tekkadan) cards in your trash, choose 1 enemy Unit with 3 or less AP. Rest it."
GD02-062,Amida's Hyakuren,Unit,purple,4,2,3,4,Teiwaz,,Teiwaz (Trait),,0,0,,GD02,,None
GD02-063,Gundam Airmaster (Fighter Mode),Unit,purple,3,2,3,3,Vulture,,Vulture (Trait),,0,0,,GD02,,None
GD02-064,Gundam Leopard,Unit,purple,5,4,4,4,Vulture,,Vulture (Trait),,0,0,,GD02,,"During your turn, while there are 7 or more cards in your trash, this Unit can't receive effect damage from enemy Commands."
GD02-065,Jenice Custom,Unit,purple,1,1,1,2,Vulture,,,,0,0,,GD02,,None
GD02-066,Gafran,Unit,purple,2,1,2,3,"UE,Vagan",,,,0,0,,GD02,,This Unit can't choose the enemy player as its attack target.
GD02-067,Baqto,Unit,purple,2,2,2,3,"UE,Vagan",,,,0,0,,GD02,,None
GD02-068,Gundam Barbatos 3rd Form,Unit,purple,4,2,3,5,"Tekkadan,Gundam Frame",deploy,Tekkadan (Trait),,0,0,,GD02,,[Deploy]Deal 2 damage to this Unit.
GD02-069,Zeta Gundam,Unit,white,6,5,5,4,AEUG,,Kamille Bidan,,0,0,,GD02,,"[During Link][Activate･Main][Once per Turn]Choose 1 active friendly Base. Rest it. If you do, set this Unit as active. It can't choose the enemy player as its attack target during this turn."
GD02-070,Gundam Kimaris,Unit,white,5,4,4,4,"Gjallarhorn,Gundarm Frame",deploy_draw:1,Gaelio Bauduin,,0,0,,GD02,,"[Deploy]If there are 4 or more (Gjallarhorn) cards in your trash, draw 2. If you do, discard 2."
GD02-071,Gundam Mk-II (AEUG),Unit,white,4,3,3,4,AEUG,deploy,AEUG (Trait),,0,0,,GD02,,"[Deploy]If a friendly white Base is in play, you may pair 1 (AEUG) Pilot card from your hand with this Unit."
GD02-072,Hyaku-Shiki,Unit,white,5,3,4,4,AEUG,"repair:1,blocker",Quattro Bajeena,,0,0,,GD02,,none
GD02-073,Carta's Graze Ritter (Ground Type),Unit,white,4,3,5,4,Gjallarhorn,,Carta Issue,,0,0,,GD02,,"During your opponent's turn, the enemy Unit battling this Unit gains <First Strike>. (While this Unit is attacking, it deals damage before the enemy Unit.)"
GD02-074,Gundam Aerial Rebuild,Unit,white,7,5,5,5,Academy,"high_maneuver,blocker",Suletta Mercury,,0,0,,GD02,,"[During Pair]While there are 4 or more Command cards in your trash, this Unit gains <Blocker>. (Rest this Unit to change the attack target to it.)"
GD02-075,Rick Dias (Red),Unit,white,4,3,4,3,AEUG,,AEUG (Trait),,0,0,,GD02,,"[Attack]Choose 1 active friendly Base. Rest it. If you do, choose 1 enemy Unit that is Lv.4 or lower. It gets AP-2 during this battle."
GD02-076,Buster Gundam,Unit,white,4,3,4,3,Triple Ship Alliance,blocker,Coordinator (Trait),,0,0,,GD02,,"While this Unit has 5 or more AP, it gains <Blocker>. (Rest this Unit to change the attack target to it.)"
GD02-077,Ein's Schwalbe Graze,Unit,white,4,2,4,3,Gjallarhorn,,Gjallarhorn (Trait),,0,0,,GD02,,None
GD02-078,Gundam Pharact,Unit,white,5,3,5,4,Academy,,Elan Ceres,,0,0,,GD02,,None
GD02-079,Rick Dias,Unit,white,3,2,3,3,AEUG,blocker,,,0,0,,GD02,,None
GD02-080,Nemo,Unit,white,2,1,2,2,AEUG,,,,0,0,,GD02,,None
GD02-081,Methuss,Unit,white,2,2,1,1,AEUG,deploy,Fa Yuiry,,0,0,,GD02,,"[Deploy]If a friendly white Base is in play, choose 1 enemy Unit. It gets AP-2 during this turn."
GD02-082,Gaelio's Schwalbe Graze,Unit,white,3,2,3,3,Gjallarhorn,blocker,Gaelio Bauduin,,0,0,,GD02,,"While you have another (Gjallarhorn) Unit in play, this Unit gains <Blocker>. (Rest this Unit to change the attack target to it.)"
GD02-083,Graze Ritter (Ground Type),Unit,white,3,2,3,2,Gjallarhorn,,,,0,0,,GD02,,"[Destroyed]If it is your opponent's turn, choose 1 of your (Gjallarhorn) Units. Set it as active."
GD02-084,Lauda's Dilanza,Unit,white,2,2,1,3,Academy,,Academy (Trait),,0,0,,GD02,,None
GD02-085,Four Murasame,Pilot,blue,5,1,0,0,"Titans,Cyber-Newtype",deploy_draw:1,,Four Murasame,2,1,,GD02,,"[During Link][Once per Turn]During your turn, when this Unit recovers HP, if you have 4 or less cards in your hand, draw 1."
GD02-086,Jerid Messa,Pilot,blue,3,1,0,0,Titans,,,Jerid Messa,1,1,,GD02,,"While you have another (Titans) Unit in play, this gets AP+1."
GD02-087,"Orga, Crot, and Shani",Pilot,blue,5,1,0,0,"Earth Alliance,Biological CPU",,,"Orga, Crot, and Shani",2,1,,GD02,,"[When Linked]If this is a blue Unit, choose 1 enemy Unit with <Blocker>. Rest it."
GD02-088,Flit Asuno,Pilot,green,3,1,0,0,"Earth Federation,Asuno Family,X-Rounder",deploy_draw:1,,Flit Asuno,1,1,,GD02,,"[When Linked]Look at the top 3 cards of your deck. You may reveal 1 green (Earth Federation) Unit card/1 card with ""AGE Device"" in its card name among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck."
GD02-089,Lalah Sune,Pilot,green,3,1,0,0,"Zeon,Newtype",breach:1,,Lalah Sune,1,1,,GD02,,[When Paired]Choose 1 of your other (Zeon) Link Units. It gains <Breach 1> during this turn.
GD02-090,Challia Bull (GQ),Pilot,green,5,1,0,0,"Zeon,Newtype",,,Challia Bull (GQ),1,2,,GD02,,"While you have another Unit with <High-Maneuver> in play, this Unit gets AP+1."
GD02-091,Haman Karn,Pilot,red,5,1,0,0,"Neo Zeon,Newtype",ping,,Haman Karn,2,1,,GD02,,"[When Paired]If this Unit is red, choose 1 enemy Unit whose Lv. is equal to or lower than this Unit. Deal 1 damage to it."
GD02-092,Shagia Frost,Pilot,red,4,1,0,0,New UNE,,,Shagia Frost,1,2,,GD02,,[During Link][Attack]Choose 1 of your (New UNE) Units. It gets AP+2 during this turn.
GD02-093,Olba Frost,Pilot,red,3,1,0,0,New UNE,deploy_draw:1,,Olba Frost,1,1,,GD02,,"During your turn, when this Unit destroys an enemy Unit paired with a (Newtype) Pilot with battle damage, draw 1."
GD02-094,Garrod Ran & Tiffa Adill,Pilot,purple,4,1,0,0,"Vulture,Newtype",deploy_draw:1,,Garrod Ran & Tiffa Adill,1,2,,GD02,,"[When Paired]You may discard 1. If you do, look at the top 3 cards of your deck. You may reveal 1 (Vulture) Unit card among them and add it to your hand. Return the remaining cards randomly to the bottom of your deck."
GD02-095,Lafter Frankland,Pilot,purple,4,1,0,0,Teiwaz,high_maneuver,,Lafter Frankland,2,1,,GD02,,"[Attack]If this Unit is damaged and Lv.5 or lower, it gains <High-Maneuver> during this battle. (This Unit can't be blocked.)"
GD02-096,Desil Galette,Pilot,purple,4,1,0,0,"Vagan,X-Rounder",,,Desil Galette,2,1,,GD02,,[When Linked]You may choose 1 (Vagan) Unit card that is Lv.2 or lower from your trash. Pay its cost to deploy it.
GD02-097,Kamille Bidan,Pilot,white,5,1,0,0,"AEUG,Newtype",,,Kamille Bidan,1,2,,GD02,,"Add this card to your hand. While there is a friendly white Base in play, this Unit gets AP+2."
GD02-098,Quattro Bajeena,Pilot,white,4,1,0,0,"AEUG,Newtype",deploy_draw:1,,Quattro Bajeena,1,2,,GD02,,"[When Linked]If this is an (AEUG) Unit, draw 1. If you do, discard 1."
GD02-099,Gaelio Bauduin,Pilot,white,3,1,0,0,Gjallarhorn,,,Gaelio Bauduin,1,1,,GD02,,"[When Paired]If there are 4 or more (Gjallarhorn) cards in your trash, choose 1 enemy Unit. It gets AP-2 during this turn."
GD02-100,Dramatic Turnabout,Command,blue,5,2,0,0,,"deploy_draw:1,recover,timing:main",,,0,0,,GD02,,"Choose 1 friendly damaged Unit. It recovers 2 HP. Then, draw 1. Burst: Draw 1."
GD02-101,Beneath the Mask,Command,blue,1,1,0,0,,timing:both,,,0,0,,GD02,,[Main]/[Action]Choose 1 to 2 enemy Units that are Lv.2 or lower. Rest them.
GD02-102,Mouar’s Determination | Mouar Pharaoh,Command,blue,2,1,1,0,Titans,timing:both,,Mouar Pharaoh,0,0,,GD02,,[Main]/[Action]Choose 1 friendly (Titans) Unit. It gets AP+2 during this turn. [Pilot][Mouar Pharaoh]
GD02-103,AGE Device,Command,green,4,2,0,0,,"deploy_draw:1,timing:main",,,0,0,,GD02,,"If you have an (AGE System) Unit in play, place 1 EX Resource. Burst: Choose 1 (Asuno Family) Pilot card from your trash. Add it to your hand."
GD02-104,Turning Point of History,Command,green,1,1,0,0,,"deploy_draw:1,timing:main",,,0,0,,GD02,,"[Main]Look at the top 3 cards of your deck and return 1 to the top. Return the remaining cards to the bottom of your deck. Then, if you have a (Newtype) Pilot in play, draw 1."
GD02-105,Valedictorian | Xavier Olivette,Command,green,2,1,1,0,"Zeon,Newtype",timing:action,,Xavier Olivette,0,0,,GD02,,[Action]Choose 1 of your Unit tokens. It can't receive battle damage from enemy Units during this battle.
GD02-106,White Wolf | Woolf Enneacle,Command,green,3,1,1,0,Earth Federation,timing:action,,Woolf Enneacle,0,0,,GD02,,"[Action]During this battle, your shield area cards can't receive damage from enemy Units that are Lv.3 or lower."
GD02-107,All-Range Attack,Command,red,4,2,0,0,,"ping,timing:main",,,0,0,,GD02,,Deal 1 damage to all enemy Units other than Link Units. Burst: Choose 1 enemy Unit. Deal 1 damage to it.
GD02-108,That One Looks A Lot Stronger?,Command,red,3,1,0,0,,timing:main,,,0,0,,GD02,,"[Main]Choose 1 friendly (Clan) Unit. During this turn, it may choose an active enemy Unit that is Lv.4 or lower as its attack target."
GD02-109,Undying Persistence | Shiiko Sugai,Command,red,4,1,1,1,"Clan,Newtype","ping,timing:both",,Shiiko Sugai,0,0,,GD02,,[Main]/[Action]Choose 1 enemy Unit. Deal 1 damage to it.
GD02-110,Awakened Power,Command,purple,6,2,0,0,,timing:main,,,0,0,,GD02,,[Main]Choose 1 Unit card that is Lv.5 or lower from your trash. Pay its cost to deploy it.
GD02-111,Decisive Last Resort,Command,purple,5,4,0,0,,"ping,timing:main",,,0,0,,GD02,,"Choose 6 purple Unit cards from your trash. Exile them from the game. If you do, choose 1 enemy Unit. Destroy it. Burst: Choose 1 enemy Unit that is Lv.3 or lower. Deal 2 damage to it."
GD02-112,Momentary Respite,Command,purple,4,3,0,0,,"deploy_draw:1,timing:main",,,0,0,,GD02,,Choose 1 purple Pilot card from your trash. Add it to your hand. Burst: Draw 1.
GD02-113,Sisterly Care | Amida Arca,Command,purple,4,2,1,1,Teiwaz,"ping,timing:both",,Amida Arca,0,0,,GD02,,"[Main]/[Action]If a friendly (Teiwaz) Link Unit is in play, choose 1 enemy Unit with 2 or less AP. Destroy it. [Pilot][Amida Arca]"
GD02-114,It's Name is Ryusei-Go | Norba Shino,Command,purple,2,1,1,0,"Tekkadan,Alaya-Vijnana",timing:both,,Norba Shino,0,0,,GD02,,[Main]/[Action]Choose 1 damaged friendly Unit. It gets AP+2 during this turn. [Pilot][Norba Shino]
GD02-115,Familial Devotion | Witz Sou,Command,purple,2,1,0,1,Vulture,timing:both,,Witz Sou,0,0,,GD02,,[Main]/[Action]Choose 1 friendly (Vulture) Unit. It gets AP+2 during this turn. [Pilot][Witz Sou]
GD02-116,Comrades Come First | Roybea Loy,Command,purple,3,1,1,0,Vulture,timing:main,,Roybea Loy,0,0,,GD02,,"[Main]If there are 7 or more cards in your trash, choose 1 friendly (Vulture) Unit. During this turn, it may choose an active enemy Unit that is Lv.4 or lower as its attack target. [Pilot][Roybea Loy]"
GD02-117,A New Sign,Command,white,4,3,0,0,,"deploy_draw:1,timing:main",,,0,0,,GD02,,"Draw 3. Then, discard 2. Burst: Choose 1 (AEUG) Base card from your trash. Add it to your hand."
GD02-118,Heart Set on Revenge | Ein Dalton,Command,white,3,1,1,0,Gjallarhorn,timing:action,,Ein Dalton,0,0,,GD02,,[Action]Choose 1 enemy Unit with 4 or less HP battling a friendly Unit with <Blocker>. Return it to its owner's hand. [Pilot][Ein Dalton]
GD02-119,Persistent and Fortudinous | Carta Issue,Command,white,2,1,1,0,Gjallarhorn,timing:action,,Carta Issue,0,0,,GD02,,"[Action]If you have a (Gjallarhorn) Link Unit in play, choose 1 enemy Unit. It gets AP-3 during this battle. [Pilot][Carta Issue]"
GD02-120,Aspiring Pilot | Fa Yuiry,Command,white,3,1,0,1,AEUG,"recover,timing:action",,Fa Yuiry,0,0,,GD02,,[Action]Choose 1 of your (AEUG) Units/Bases. It recovers 2 HP. [Pilot][Fa Yuiry]
GD02-121,Dominion,Base,blue,4,1,0,5,"Earth Alliance,Warship",recover,,,0,0,,GD02,,"Then, choose 1 friendly blue Unit. It recovers 2 HP."
GD02-122,Alexandria,Base,blue,3,2,0,5,"Titans,Warship",ping,,,0,0,,GD02,,"Then, choose 1 rested enemy Unit that is Lv.4 or lower. Deal 1 damage to it."
GD02-123,Sodon,Base,green,3,2,0,5,"Zeon,Warship",,,,0,0,,GD02,,"Then, choose 1 friendly Unit token. During this turn, it may choose an active enemy Unit with 5 or less AP as its attack target."
GD02-124,Diva,Base,green,3,1,0,5,"Earth Federation,Warship",,,,0,0,,GD02,,"During your turn, while you are Lv.7 or higher, all friendly green (Earth Federation) Units get AP+1."
GD02-125,Gwadan,Base,red,4,2,0,5,"Neo Zeon,Warship",deploy_draw:1,,,0,0,,GD02,,"Then, if it is your turn, you may discard 1 red card. If you do, draw 1."
GD02-126,Shuji's Hideout,Base,red,3,1,0,5,"Clan,Stronghold",ping,,,0,0,,GD02,,[Destroyed]Choose 1 enemy Unit that is Lv.4 or lower. Deal 1 damage to it.
GD02-127,Freeden,Base,purple,2,1,0,5,"Vulture,Warship",,,,0,0,,GD02,,[Destroyed]Place the top 2 cards of your deck into your trash.
GD02-128,Hammerhead,Base,purple,4,2,0,5,"Teiwaz,Warship",ping,,,0,0,,GD02,,"Then, if it is your turn and a friendly (Teiwaz) Link Unit is in play, choose 1 enemy Unit with 2 or less AP. Destroy it."
GD02-129,Argama,Base,white,3,1,0,4,"AEUG,Warship",,,,0,0,,GD02,,This Base can't receive enemy effect damage.
GD02-130,Sleipnir,Base,white,4,2,0,5,"Gjallarhorn,Warship",,,,0,0,,GD02,,"Then, if a friendly (Gjallarhorn) Unit is in play, choose 1 enemy Unit. It gets AP-2 during this turn."
GD03-001,Gundam NT-1 | RX-78NT-1,Unit,blue,5,4,4,4,Earth Federation,"repair:2,when_paired_draw:1",Christina Mackenzie/Amuro Ray,,0,0,,GD03,,"[When Paired] Choose 1 rested enemy Unit. Deal 1 damage to it. When this effect destroys an enemy Unit, draw 1."
GD03-002,The-O | PMX-003,Unit,blue,7,5,5,5,"Titans,Jupitris",repair:3,Paptimus Scirocco,,0,0,,GD03,,"[During Pair] When on of your other Units with <Repair> attacks, choose 1 enemy Unit whose Lv. is equal to or lower than that Unit. Rest it."
GD03-003,MEssala | PMX-000,Unit,blue,6,4,5,4,"Titans,Jupitris","repair:1,blocker",Paptimus Scirocco,,0,0,,GD03,,None
GD03-004,Hambrabi | RX-139,Unit,blue,5,4,5,3,Titans,,Yazan Gable,,0,0,,GD03,,"[Attack] If you have 2 or more other (Titans) Units in play, choose 1 enemy Unit with 5 or less HP. Rest it."
GD03-005,Kshatriya Besserung | MS-06FZ,Unit,blue,6,5,4,4,Neo Zeon,"repair:1,deploy_draw:1",Marida Cruz,,0,0,,GD03,,[Deploy] Draw 1.
GD03-006,Penelope (Middle Form) | RX-104FF,Unit,blue,6,5,4,4,Earth Federation,deploy,Lane Aim,,0,0,,GD03,,[Deploy] Choose 1 to 2 enemy Units with 3 or less HP. Rest them.
GD03-010,Full Armor Unicorn Gundam (Destroy Mode),Unit,blue,8,6,6,6,Civilian,repair:3,Banagher Links,,0,0,,GD03,,None
GD03-015,Baund Doc | NRD-055,Unit,blue,6,5,4,5,Titans,breach:4,Jerid Messa,,0,0,,GD03,,[Activate Main] [Once per Turn] Exile 3 (Titans) cards from your trash: This Unit gains <Breach 4>
GD03-016,Full Armor Unicorn Gundam (Unicorn Mode),Unit,blue,5,3,5,4,Civilian,,Banagher Links,,0,0,,GD03,,None
GD03-020,Zaku II FZ | MS-06FZ,Unit,green,2,2,1,2,"Zeon,Cyclops Team",,Bernand Wiseman,,0,0,,GD03,,"[When Paired] If there are 4 or more (Cyclops Team) cards in your trash, deploy 2 rested [Ad Balloon](Civilian)-AP0-HP1-This Unit can't be set as active or paired with a Pilot) Unit tokens. White you have a Unit with ""Ad Balloon"" in its card name in play, this Unit can't receive enemy battle damage."
GD03-021,Gundam Deathsycthe Hell,Unit,green,8,7,6,5,G Team,deploy,Duo Maxwell,,0,0,,GD03,,"[Deploy] Choose 1 of your (Operation Meteor)/(G Team) Units. During this turn, it may choose an active enemy Unit as its attack target."
GD03-022,Gundam Kyrios | GN-003,Unit,green,5,3,5,3,"CB,GN Drive",ping,Allelujah Haptism/Hallelujah Haptism,,0,0,,GD03,,"[During Link] During your turn, when this Units destroys an enemy Unit with battle damage, deal 1 damage to all enemy Units that are LV.3 or lower."
GD03-023,G-Bouncer | WMS-G8S,Unit,green,4,3,4,3,Earth Federation,high_maneuver,Earth Federation (Trait),,0,0,,GD03,,"When you place an EX Resource, choose 1 of your (AGE System) Units. It gains <High-Maneuver> during this turn."
GD03-025,Gundam Sandrock Custom | XXXG-01SR2,Unit,green,6,5,5,4,G Team,,Quatre Raberba Winner,,0,0,,GD03,,Enemy Units choose one of your rested (Maganac Corps) Units as their attack target if possible when attacking.
GD03-028,Auda's Maganac | WMS-03,Unit,green,3,2,2,3,Maganac Corps,,Maganac Corps (Trait),,0,0,,GD03,,"[Attack] If you are attacking an enemy Unit, this Unit gets AP+2 during this battle."
GD03-029,Gundam Heavyarms Custom | XXG-01H2,Unit,green,6,5,4,5,G Team,ping,Trowa Barton,,0,0,,GD03,,"During your turn, when this Unit destroys an enemy Unit with battle damage, deal 2 damage to all enemy Units with <Blocker>."
GD03-031,Gundam AGE-1 Flat | AGE-1F,Unit,green,4,2,4,3,"Earth Federation,AGE System",,Asuno Family (Trait),,0,0,,GD03,,None
GD03-034,GQuuuuuuX,Unit,red,8,7,6,5,Clan,"deploy,ping",Amate Yuzuriha (Machu)/Nyaan,,0,0,,GD03,,<Suppression> [Deploy] Choose 1 enemy Unit. Deal 3 damage to it.
GD03-035,GFreD,Unit,red,6,4,4,5,Zeon,ping,Nyaan,,0,0,,GD03,,"[Activate Main] [Once per Turn] 1, exlie 1 Pilot card from your trash : Deal 1 damage to all enemy Units. [When Linked] During this turn, this Unit may choose an active anemy Unit with AP equal to or less than this Unit as its atttack target."
